ano_modelo,name,code_marca,code_modelos
2007-1,2007 Gasolina,6,4156
2013-1,2013 Gasolina,6,4157
2012-1,2012 Gasolina,6,4157
2011-1,2011 Gasolina,6,4157
2010-1,2010 Gasolina,6,4157
2009-1,2009 Gasolina,6,4157
2008-1,2008 Gasolina,6,4157
2007-1,2007 Gasolina,6,4157
2001-1,2001 Gasolina,6,68
2000-1,2000 Gasolina,6,68
1999-1,1999 Gasolina,6,68
1998-1,1998 Gasolina,6,68
1997-1,1997 Gasolina,6,68
1996-1,1996 Gasolina,6,68
1995-1,1995 Gasolina,6,68
2001-1,2001 Gasolina,6,69
2000-1,2000 Gasolina,6,69
1999-1,1999 Gasolina,6,69
1998-1,1998 Gasolina,6,69
1997-1,1997 Gasolina,6,69
1996-1,1996 Gasolina,6,69
1995-1,1995 Gasolina,6,69
2001-1,2001 Gasolina,6,70
2000-1,2000 Gasolina,6,70
1999-1,1999 Gasolina,6,70
1997-1,1997 Gasolina,6,70
1996-1,1996 Gasolina,6,70
2001-1,2001 Gasolina,6,71
2000-1,2000 Gasolina,6,71
1999-1,1999 Gasolina,6,71
1998-1,1998 Gasolina,6,71
1997-1,1997 Gasolina,6,71
1996-1,1996 Gasolina,6,71
2001-1,2001 Gasolina,6,72
2000-1,2000 Gasolina,6,72
1999-1,1999 Gasolina,6,72
1998-1,1998 Gasolina,6,72
1997-1,1997 Gasolina,6,72
1996-1,1996 Gasolina,6,72
2016-1,2016 Gasolina,6,73
2015-1,2015 Gasolina,6,73
2008-1,2008 Gasolina,6,73
2007-1,2007 Gasolina,6,73
2006-1,2006 Gasolina,6,73
2005-1,2005 Gasolina,6,73
2004-1,2004 Gasolina,6,73
2003-1,2003 Gasolina,6,73
2002-1,2002 Gasolina,6,73
2001-1,2001 Gasolina,6,73
2000-1,2000 Gasolina,6,73
1999-1,1999 Gasolina,6,73
1998-1,1998 Gasolina,6,73
1997-1,1997 Gasolina,6,73
1996-1,1996 Gasolina,6,73
2016-1,2016 Gasolina,6,74
2015-1,2015 Gasolina,6,74
2008-1,2008 Gasolina,6,74
2007-1,2007 Gasolina,6,74
2006-1,2006 Gasolina,6,74
2005-1,2005 Gasolina,6,74
2004-1,2004 Gasolina,6,74
2003-1,2003 Gasolina,6,74
2002-1,2002 Gasolina,6,74
2001-1,2001 Gasolina,6,74
2000-1,2000 Gasolina,6,74
1999-1,1999 Gasolina,6,74
1998-1,1998 Gasolina,6,74
1997-1,1997 Gasolina,6,74
1996-1,1996 Gasolina,6,74
1995-1,1995 Gasolina,6,74
2001-1,2001 Gasolina,6,75
2000-1,2000 Gasolina,6,75
1999-1,1999 Gasolina,6,75
1998-1,1998 Gasolina,6,75
1997-1,1997 Gasolina,6,75
1996-1,1996 Gasolina,6,75
1995-1,1995 Gasolina,6,75
2014-1,2014 Gasolina,6,4843
2013-1,2013 Gasolina,6,4843
2012-1,2012 Gasolina,6,4843
2011-1,2011 Gasolina,6,4843
2010-1,2010 Gasolina,6,4843
2009-1,2009 Gasolina,6,4843
2011-1,2011 Gasolina,6,4182
2010-1,2010 Gasolina,6,4182
2009-1,2009 Gasolina,6,4182
2008-1,2008 Gasolina,6,4182
2007-1,2007 Gasolina,6,4182
2014-1,2014 Gasolina,6,6144
2013-1,2013 Gasolina,6,6144
2003-1,2003 Gasolina,6,76
2002-1,2002 Gasolina,6,76
2014-1,2014 Gasolina,6,6145
2013-1,2013 Gasolina,6,6145
2018-1,2018 Gasolina,6,7750
2017-1,2017 Gasolina,6,7750
2014-1,2014 Gasolina,6,4844
2013-1,2013 Gasolina,6,4844
2012-1,2012 Gasolina,6,4844
