code_modelo,name,code_marcas
7127,A8 3.0 TFSI 310cv Quattro Tiptronic 4p,6
6631,A8 4.0 TFSI Quattro Tiptronic,6
126,A8 4.2 Quattro Tiptronic,6
127,A8 4.2 V8 32V Tiptronic,6
3928,A8 6.0 W12 48V 450cv Quattro Tiptronic,6
5717,A8 6.3 W12 48V Quattro Tiptronic,6
128,Allroad 2.7 30V Quattro Turbo Tiptronic,6
129,Avant RS2,6
9077,E-TRON Performa. Black Aut. (Elétrico),6
9078,E-TRON Performace Aut. (Elétrico),6
9605,E-TRON S Sportback Quat. Aut. (Elétrico),6
9186,E-TRON Sportb. Perf.Black Aut.(Elétrico),6
9187,E-TRON Sportback Perf. Aut. (Elétrico),6
7255,Q3 1.4 TFSI/TFSI Flex S-tronic 5p,6
6044,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,6
6045,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,6
8230,Q3 Black Ed. 1.4 TFSI Flex/Black S-tron.,6
9304,Q3 Black S Line 1.4 TFSI S-tronic,6
8569,Q3 P. Plus 1.4 TFSI Flex/P.Plus S-tronic,6
9796,Q3 Perf. Black 2.0 TFSI Tiptr. Quattro,6
9871,Q3 Performance 2.0 TFSI Tiptr. Quattro,6
8568,Q3 Prest. 1.4 TFSI Flex/Prest. S-tronic,6
10111,Q3 Prestige 2.0 TFSI Tiptr.Quatro ,6
9835,Q3 SPB Perf. Black 2.0 TFSI Tipt. Quat.,6
9836,Q3 SPB Performance 2.0 TFSI Tipt. Quatt.,6
6573,Q5 2.0 16V TFSI 225cv Quattro Tiptronic,6
4936,Q5 2.0 16V TFSI Quattro S Tronic,6
8231,Q5 2.0 TFSI Quattro S tronic (Blindado),6
6486,Q5 3.0 V6 TFSI 272cv Quattro Tiptronic,6
4959,Q5 3.2 FSI V6 Quattro S Tronic,6
8036,Q5 Ambiente 2.0 TFSI Quattro S tronic,6
8037,Q5 Ambition 2.0 TFSI Quattro S tronic,6
8038,Q5 Attraction 2.0 TFSI Quattro S tronic,6
8583,Q5 Black 2.0 TFSI Quattro S tronic,6
10045,Q5 Perf. Black 2.0 TFSIe S.Tr. Qt (Hib.),6
10046,Q5 Performance 2.0 TFSIe S.Tr. Qt (Hib.),6
8584,Q5 Prestige 2.0 TFSI Quattro S tronic,6
8585,Q5 Prestige Plus 2.0 TFSI Quat. S tronic,6
10047,Q5 SB P Black. 2.0 TFSIe S.Tr. Qt (Hib.),6
10048,Q5 SB Perf. 2.0 TFSIe S.Tr. Qt (Hib.),6
8773,Q5 S-Line 2.0 TFSI Quattro S-tronic,6
9486,Q5 S-Line Black 2.0 TFSI Quat. S-Tronic,6
9526,Q5 SPB. S-Line Black 2.0 TFSI Qua.S-Tron,6
9527,Q5 Sportback S-Line 2.0 TFSI Quat.S-Tron,6
7917,Q7 3.0 V6 TDI Quat.Tip. 5p Die./Perfor.,6
10049,Q7 3.0 V6 TFSI  Quat.Tip.5p/ Perf.(Híb.),6
4694,Q7 3.6 V6 284cv Quattro Tiptronic,6
4184,Q7 4.2 V8 40V 350cv Quattro Tiptronic,6
10050,Q7 Perf. Black 3.0 TFSI Quat.Tip.(Híb.),6
8658,Q7 Perf.Black 3.0 TDI Quat.Tip.5p Dies.,6
9205,Q7 S-Line 3.0 V6 TFSI Quattro Tiptronic,6
10051,Q8 Perf.Black 3.0 TFSI Quat. S-tr.(Híb.),6
10052,Q8 Perfo. 3.0 TFSI Quattro S-tron.(Híb.),6
5235,R8 4.2 V8 426cv Quattro R-tronic,6
5236,R8 5.2 V10 Quattro R-tronic/S-tronic,6
5974,R8 GT 5.2 V10 560cv Quattro R-tronic,6
5550,R8 Spyder 5.2 Quattro R-tronic/S-tronic,6
9606,RS E-TRON GT Quattro Aut. (Elétrico),6
6865,RS Q3 2.5 TFSI Quattro S-tronic 5p,6
9292,RS Q3 Sportback 2.5 TFSI Quattro S-tron.,6
9224,RS Q8 4.0 Bi-TB V8 FSI Quattro Tiptronic,6
8175,RS3 Sedan 2.5 TFSI Quattro S-tronic,6
5922,RS3 Sportback 2.5 TFSI Quattro S-tronic,6
130,RS4 2.7 Avant V6 30V BI-TB Quattro 380cv,6
8628,RS4 2.9 Avant V6 TFSI Quattro Tiptronic,6
6487,RS4 4.2 Avant 32V FSI Quattro S-tronic,6
5410,RS5 4.2 FSI V8 450cv Quattro S-Tron. 2p,6
8629,RS5 Coupê 2.9 V6 TFSI Quattro Tiptronic,6
10681,RS5 SPB. C.Plus Track 2.9 Quat. S-tronic,6
10682,RS5 SPB. Compet. Plus 2.9 Quat. S-tronic,6
9247,RS5 Sportback 2.9 V6 TFSI Quattro Tip.,6
10227,RS6 4.0 Avant TFSI BI-TB Quat.Tip.(Hib.),6
131,RS6 4.2 450cv BI-TB Quattro Tiptronic 4p,6
132,RS6 4.2 Avant  BI-TB Quattro Tiptron. 5p,6
5335,RS6 5.0 Avant.FSI V10 Bi-TB Quattro Tip.,6
5336,RS6 5.0 FSI V10 Bi-TB Quattro Tip.,6
6883,RS7 Sportback 4.0 TFSI Quattro Tiptronic,6
6769,S Q5 3.0 V6 TFSI 354cv Quattro Tiptronic,6
133,S3 1.8 225cv Turbo Quattro,6
6951,S3 Sedan 2.0 TFSI Quattro 286cv S-tronic,6
5127,S3 Sportback 2.0 TFSI Quattro S Tronic,6
134,S4 2.7 Avant Turbo Quattro,6
135,S4 2.7 Turbo Quattro Mec.,6
6085,S4 3.0 Avant TFSI V6 24V Quattro Stronic,6
6086,S4 3.0 TFSI V6 24V Quattro Stronic,6
136,S4 4.2 Avant V8 40V 344cv Quattro Tipt.,6
137,S4 4.2 V8 40V 344cv Quattro Tiptronic,6
6087,S5 Cabriolet 3.0 TFSI Quattro Stronic,6
6088,S5 Coupê 3.0 TFSI Quattro Stronic,6
6089,S5 Sportback 3.0 TFSI Quattro Stronic,6
138,S6 2.2 20V TB,6
139,S6 2.2 Avant 20V TB,6
7302,S6 4.0 TFSI Quattro S-Tronic 4p,6
140,S6 4.2 Avant V8 40V Quattro Tiptronic,6
141,S6 4.2 V8 40V Quattro Mec,6
142,S6 4.2 V8 40V Quattro Tiptronic,6
5186,S6 5.2 Avant FSI V10 435cv Quattro Tiptr,6
5187,S6 5.2 FSI V10 435cv Quattro Tiptronic,6
143,S6 Plus 4.2 Avant V8 32V,6
144,S6 Plus 4.2 V8 32V,6
6632,S7 4.0 TFSI 420/450cv Quattro S-tronic,6
7128,S8 4.0 TFSI Quattro Tiptronic 4p,6
145,S8 4.2 Mec,6
146,S8 4.2 Quattro Mec.,6
147,S8 4.2 Quattro Tiptronic,6
148,S8 4.2 Tiptronic,6
149,TT 1.8 TB 180cv,6
150,TT 1.8 TB Quattro 225cv,6
4330,TT 2.0 16v TFSI S-Tronic,6
151,TT Roadster 1.8 TB Quattro 225cv (Conv.),6
4431,TT Roadster 2.0 16v TFSI S-Tronic,6
6258,TTRS 2.5 TFSI QUATTRO S Tronic,6
6259,TTRS Roadster 2.5 TB FSI Quat. S Tronic,6
5128,TTS 2.0 TFSI QUATTRO S Tronic,6
5129,TTS Roadster 2.0 TB FSI Quattro S Tronic,6
8274,Buggy 1.6 2-Lug.,207
8275,Buggy 1.6/ TST/ RS 1.6 4-Lug.,207
8276,Buggy RS Evolution 1.8 8V,207
6146,116iA 1.6 TB 16V 136cv 5p,7
9955,118i M Sport 1.5 TB 12V Aut. 5p,7
8946,118i Sport 1.5 TB 12V Aut. 5p,7
5576,118iA 2.0 16V 136cv 3p,7
